cell	profile	release_pct	live_set	release_order	valid_n	memavailable_pre_kb	released_objects	released_payload_kb	theoretical_release_kb	glibc_pd_pretrim_kb	glibc_pd_posttrim_kb	a_ceiling_kb	reclaim_pct_of_pretrim	return_pct_of_payload	theoretical_to_reclaimed_ratio	mi_measure_fast_b	mi_measure_rest_b	mi_measure_unsorted_b	mi_release_fast_b	mi_release_rest_b	mi_release_unsorted_b	mi_posttrim_fast_b	mi_posttrim_rest_b	mi_posttrim_unsorted_b	mi_idle_fast_b	mi_idle_rest_b	mi_idle_unsorted_b	mi_release_rest_delta_b	mi_release_unsorted_delta_b	arena_measure	arena_release	arena_posttrim	arena_idle	throughput_ops_s	p99_ns	trim_ret	trim_elapsed_ms	posttrim_minflt	posttrim_majflt	exit
baseline	mixed	50	4096	high	3	3402184	8192	51721.71875	50247.68	112112	52164	60148	53.554384215399956	115.9676174001796	0.8354006783267939	0	12059651	69985	152	65233202	58050698	0	65245237	58050698	0	33937156	75670	53023909	57923633	5	5	5	5	2022722.568	1227	1	13.449222	1579	0	0
live1024	mixed	50	1024	high	3	3406136	2048	11628.96875	12561.92	31036	14724	16452	52.30162767039675	143.11790212678093	0.7635497203987357	0	7699235	26669	168	19617481	15172184	0	19629535	15173271	0	8646010	96303	11918246	15145515	5	5	5	5	2614028.829	769	1	4.394482	918	0	0
live16384	mixed	50	16384	high	3	3394476	32768	153624.203125	200990.72	377116	223992	154404	40.87799315849487	100.49980152121442	1.3017196445687935	0	33641116	34843	112	191212297	165240587	0	191224347	165240695	0	156638692	45083	157571181	165205744	5	5	5	5	1680296.522	1977	1	36.201481	1650	0	0
order_interleave	mixed	50	4096	interleave	3	3389824	8192	50078.875	50247.68	111276	65968	45152	40.576584348826344	89.83978043291859	1.1128561304039688	0	12618400	49269	432	64379137	62028586	0	64276782	62029988	0	33348171	67611	51349905	61979317	5	5	5	5	2026971.871	1228	1	19.920815	348	0	0
pct25	mixed	25	4096	high	3	3379516	4096	24856.3125	25123.84	110528	78380	33220	29.767025089605735	133.64814270016922	0.7562865743527996	0	12173591	42831	216	37655354	27754952	0	37667453	27755179	0	23975754	67611	25481763	27720073	5	5	5	5	2021210.361	1222	1	8.062297	756	0	0
pct75	mixed	75	4096	high	3	3384468	12288	75559.828125	75371.52	111628	26996	84548	75.74085354928872	111.30782333287632	0.8914642569901122	0	12696229	6171	120	91136662	86955713	0	91148699	86955829	0	43345254	70293	77468683	86885012	5	5	5	5	2013499.147	1239	1	18.349129	2893	0	0
pct90	mixed	90	4096	high	3	3402580	14744	89518.03125	90445.824	111208	12688	99012	88.46992387147503	110.81566318517534	0.913483456550721	0	14456749	57413	48	106239017	102117603	0	106250906	102117811	0	48898965	71365	91782268	102083761	5	5	5	5	2024278.935	1228	1	20.701111	3871	0	0
size_medium	external:/root/l6_curve/medium_1k_16k.hist	50	4096	high	3	3403236	8192	49996.0	50790.4	107700	53292	54500	50.603528319405754	109.00872069765582	0.9319339449541285	0	8943673	26660	0	59894347	54337360	0	59906364	54337360	0	27392103	43027	51261551	54303531	5	5	5	5	1744789.647	1138	1	12.105574	3075	0	0
size_small	small-churn	50	4096	high	3	3403332	8192	867.3125	793.6	1888	1364	528	27.906976744186046	60.87771132089068	1.5030303030303032	31928	349524	3830	94488	1325693	964375	0	1430526	1078198	3336	836013	32908	977201	960545	5	5	5	5	2844917.935	684	1	0.820759	58	0	0
x_medium90_large	external:/root/l6_curve/medium_1k_16k.hist	90	16384	high	3	3383468	58980	365135.0	365690.88	419812	45908	373904	89.06462892913972	102.40157749873335	0.9780341478026445	0	15681638	27684	0	389404649	387140254	0	389416538	387140254	0	306615515	2079781	374372685	387108522	5	5	5	5	1477027.549	1704	1	80.297371	9467	0	0
x_mixed75_large_interleave	mixed	75	16384	interleave	3	3385024	49152	326591.171875	301486.08	377576	94888	282688	74.86916541305591	86.50968754310676	1.0664976228209193	0	27897939	45135	72	363326873	360533152	0	363338762	360533152	0	289661294	1058	333210250	360488017	5	5	5	5	1686198.34	1944	1	77.617926	431	0	0
x_small90_large_interleave	small-churn	90	16384	interleave	3	3393456	58980	5794.640625	5713.92	5472	1740	3860	67.58569299552906	66.61327681559199	1.4802901554404144	62264	543435	7262	601024	6534833	6052619	0	7140054	6375310	256	5728579	29812	5991398	6045357	5	5	5	5	2572625.115	848	1	5.520463	115	0	0
