# elapsed_s	utc	memavailable_kb	swap_used_kb	zram_orig_data_size	zram_compr_data_size	zram_mem_used_total	psi_some_avg2	psi_some_avg6	psi_some_avg10	psi_some_total	psi_full_avg2	psi_full_avg6	psi_full_avg10	psi_full_total
0	2026-08-06T11:36:44Z	663768	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
10	2026-08-06T11:36:55Z	668308	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
20	2026-08-06T11:37:05Z	671816	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
30	2026-08-06T11:37:15Z	672188	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
40	2026-08-06T11:37:25Z	672608	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
50	2026-08-06T11:37:36Z	672148	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
60	2026-08-06T11:37:46Z	671092	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
70	2026-08-06T11:37:56Z	669756	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
80	2026-08-06T11:38:06Z	669136	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
90	2026-08-06T11:38:17Z	669208	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
100	2026-08-06T11:38:27Z	668468	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
110	2026-08-06T11:38:37Z	668108	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
120	2026-08-06T11:38:47Z	667696	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
130	2026-08-06T11:38:58Z	666952	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
140	2026-08-06T11:39:08Z	666376	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
150	2026-08-06T11:39:18Z	666104	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
160	2026-08-06T11:39:29Z	665148	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
170	2026-08-06T11:39:39Z	664840	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
180	2026-08-06T11:39:49Z	663596	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
190	2026-08-06T11:39:59Z	663172	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
200	2026-08-06T11:40:10Z	662804	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
210	2026-08-06T11:40:20Z	662292	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
220	2026-08-06T11:40:30Z	660980	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
230	2026-08-06T11:40:40Z	660808	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
240	2026-08-06T11:40:51Z	660844	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
250	2026-08-06T11:41:01Z	660456	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
260	2026-08-06T11:41:11Z	659892	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
270	2026-08-06T11:41:21Z	659428	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
280	2026-08-06T11:41:32Z	658524	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
290	2026-08-06T11:41:42Z	658004	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
300	2026-08-06T11:41:52Z	657128	54892	46116864	9236322	16166912	0.00	0.00	0.00	2286590	0.00	0.00	0.00	1504018
