sample	actual_stage	timestamp	actual_elapsed_s	pid	glibc_heap_pd_kb	other_anon_pd_kb	file_backed_pd_kb	minflt	majflt	MemAvailable_kb	zram_used_kb
0	P0	2026-08-14T01:55:48,028254644-0700	0.037285	3953	3464	4300	2656	415778	167	780220	92940
1	P0	2026-08-14T01:55:49,013308811-0700	1.019632	3953	3464	4300	2656	415778	167	779864	92940
2	P0	2026-08-14T01:55:50,013050811-0700	2.021717	3953	3464	4300	2656	415778	167	779220	92940
3	P0	2026-08-14T01:55:51,014255644-0700	3.022689	3953	3464	4300	2656	415778	167	781884	92940
4	P0	2026-08-14T01:55:52,014439143-0700	4.023238	3953	3464	4300	2656	415778	167	780768	92940
5	P0	2026-08-14T01:55:53,012769476-0700	5.022761	3953	3464	4300	2656	415778	167	780456	92940
6	P0	2026-08-14T01:55:54,017928726-0700	6.023722	3953	3464	4300	2656	415778	167	781476	92940
7	P0	2026-08-14T01:55:55,025293309-0700	7.034140	3953	3464	4300	2656	415778	167	780472	92940
8	P0	2026-08-14T01:55:56,009228809-0700	8.018514	3953	3464	4300	2656	415778	167	779900	92940
9	P0	2026-08-14T01:55:57,010309642-0700	9.020477	3953	3464	4300	2656	415778	167	779288	92940
10	P0	2026-08-14T01:55:58,017861059-0700	10.024693	3953	3464	4300	2656	415778	167	779952	92940
11	P0	2026-08-14T01:55:59,010136058-0700	11.020305	3953	3464	4300	2656	415778	167	779680	92940
12	P0	2026-08-14T01:56:00,008978725-0700	12.016082	3953	3464	4300	2656	415778	167	780292	92940
13	P0	2026-08-14T01:56:01,017219725-0700	13.020962	3953	3464	4300	2656	415778	167	779916	92940
14	P0	2026-08-14T01:56:02,010532558-0700	14.019713	3953	3464	4300	2656	415778	167	780540	92940
15	P0	2026-08-14T01:56:03,021638557-0700	15.023133	3953	3464	4300	2656	415778	167	779852	92940
16	P0	2026-08-14T01:56:04,013141141-0700	16.023561	3953	3464	4300	2656	415778	167	780328	92940
17	P0	2026-08-14T01:56:05,022426890-0700	17.027645	3953	3464	4300	2656	415778	167	780192	92940
18	P0	2026-08-14T01:56:06,026625223-0700	18.031746	3953	3464	4300	2656	415778	167	780088	92940
19	P0	2026-08-14T01:56:07,008269806-0700	19.019210	3953	3464	4300	2656	415778	167	780600	92940
20	P0	2026-08-14T01:56:08,013287973-0700	20.021476	3953	3464	4300	2656	415778	167	779728	92940
21	P0	2026-08-14T01:56:09,011380973-0700	21.021600	3953	3464	4300	2656	415778	167	779700	92940
22	P0	2026-08-14T01:56:10,016483472-0700	22.023745	3953	3464	4300	2656	415778	167	779244	92940
23	P0	2026-08-14T01:56:11,019482222-0700	23.020903	3953	3464	4300	2656	415778	167	779376	92940
24	P0	2026-08-14T01:56:12,015184139-0700	24.024715	3953	3464	4300	2656	415778	167	779936	92940
25	P0	2026-08-14T01:56:13,009503305-0700	25.020120	3953	3464	4300	2656	415778	167	779448	92940
26	P0	2026-08-14T01:56:14,012279555-0700	26.020616	3953	3464	4300	2656	415778	167	779864	92940
27	P0	2026-08-14T01:56:15,013886555-0700	27.022376	3953	3464	4300	2656	415778	167	779448	92940
28	P0	2026-08-14T01:56:16,009965054-0700	28.020950	3953	3464	4300	2656	415778	167	779924	92940
29	P0	2026-08-14T01:56:17,013892387-0700	29.020020	3953	3464	4300	2656	415778	167	779996	92940
30	P0	2026-08-14T01:56:18,015623887-0700	30.020380	3953	3464	4300	2656	415778	167	779312	92940
31	P0	2026-08-14T01:56:19,023957054-0700	31.031771	3953	3464	4300	2656	415778	167	779860	92940
32	P0	2026-08-14T01:56:20,016947720-0700	32.020692	3953	3464	4300	2656	415778	167	779720	92940
33	P0	2026-08-14T01:56:21,012577886-0700	33.020137	3953	3464	4300	2656	415778	167	778932	92940
34	P0	2026-08-14T01:56:22,019766220-0700	34.024011	3953	3464	4300	2656	415778	167	779676	92940
35	P0	2026-08-14T01:56:23,008263303-0700	35.019314	3953	3464	4300	2656	415778	167	779932	92940
36	P0	2026-08-14T01:56:24,018304802-0700	36.024455	3953	3464	4300	2656	415778	167	780980	92940
37	P0	2026-08-14T01:56:25,011239719-0700	37.020704	3953	3464	4300	2656	415778	167	781040	92940
38	P0	2026-08-14T01:56:26,010043385-0700	38.018518	3953	3464	4300	2656	415778	167	780720	92940
39	P0	2026-08-14T01:56:27,014678468-0700	39.022888	3953	3464	4300	2656	415778	167	780172	92940
40	P0	2026-08-14T01:56:28,015527468-0700	40.024334	3953	3464	4300	2656	415778	167	780092	92940
41	P0	2026-08-14T01:56:29,010104801-0700	41.016669	3953	3464	4300	2656	415778	167	779876	92940
42	P0	2026-08-14T01:56:30,009158468-0700	42.016951	3953	3464	4300	2656	415778	167	779272	92940
43	P0	2026-08-14T01:56:31,015247884-0700	43.021802	3953	3464	4300	2656	415778	167	780432	92940
44	P0	2026-08-14T01:56:32,017169301-0700	44.024269	3953	3464	4300	2656	415778	167	780440	92940
45	P0	2026-08-14T01:56:33,010934550-0700	45.021912	3953	3464	4300	2656	415778	167	780028	92940
46	P0	2026-08-14T01:56:34,009696133-0700	46.019107	3953	3464	4300	2656	415778	167	780168	92940
47	P0	2026-08-14T01:56:35,015237883-0700	47.022874	3953	3464	4300	2656	415778	167	779728	92940
48	P0	2026-08-14T01:56:36,010655716-0700	48.021270	3953	3464	4300	2656	415778	167	778904	92940
49	P0	2026-08-14T01:56:37,015127383-0700	49.023094	3953	3464	4300	2656	415778	167	778680	92940
50	P0	2026-08-14T01:56:38,010867216-0700	50.021333	3953	3464	4300	2656	415778	167	779360	92940
