order	elf	profile	rep	pretrim_glibc_pd_kb	posttrim_glibc_pd_kb	reclaimed_kb	reclaim_pct_of_pretrim	reclaim_pct_of_released	released_payload_bytes	trim_return	trim_elapsed_ms	posttrim_refault_elapsed_ms	trim_minflt	trim_majflt	refault_minflt	refault_majflt	external_samples	external_minflt_delta	external_majflt_delta	exit_code
1	frozen	mixed	1	107336	50028	57308	53.39122	111.701226	52536032	1	15.885352	37.32976	6	0	1703	0	41	31709	0	0
2	gbs	mixed	1	110296	52224	58072	52.651048	119.831477	49624464	1	13.882167	15.755204	6	0	1602	0	41	33160	0	0
3	frozen	medium-only	1	104520	53280	51240	49.02411	99.892777	52526080	1	12.43313	29.141482	6	0	3045	0	41	28867	0	0
4	gbs	medium-only	1	100608	47532	53076	52.755248	104.71324	51903488	1	13.140815	36.416297	6	0	3125	0	41	26728	0	0
5	frozen	mixed	2	109396	51484	57912	52.93795	116.324267	50979808	1	14.683315	19.358648	6	0	1595	0	41	32152	0	0
6	gbs	mixed	2	111132	53224	57908	52.107404	115.173691	51485536	1	14.966092	30.122889	6	0	1512	0	41	30907	0	0
7	frozen	medium-only	2	105260	51152	54108	51.404142	107.915994	51342336	1	13.671278	38.554222	6	0	3073	0	41	27375	0	0
8	gbs	medium-only	2	105268	51788	53480	50.803663	103.986	52664320	1	13.027408	28.902148	6	0	3213	0	41	29248	0	0
9	frozen	mixed	3	108404	53184	55220	50.93908	114.778819	49264560	1	13.805778	25.666333	6	0	1654	0	41	33938	0	0
10	gbs	mixed	3	108324	50032	58292	53.812636	121.55111	49107744	1	15.182352	23.653944	6	0	1729	0	41	33577	0	0
11	frozen	medium-only	3	100516	52432	48084	47.83716	96.463177	51043328	1	12.318019	29.05226	6	0	3095	0	41	30735	0	0
12	gbs	medium-only	3	109304	53468	55836	51.083217	109.615611	52160512	1	12.692926	34.816981	6	0	3071	0	41	26787	0	0
