from_sample	to_sample	glibc_delta_kb	other_anon_delta_kb	total_pd_delta_kb	opposite_direction	other_to_glibc_abs_ratio	near_equal_within_20pct	near_equal_within_50pct	release_total_pd_fell
60	61	884	64	948	0	0.072398	0	0	0
61	62	1856	2356	4240	0	1.269397	0	0	0
62	63	7080	-168	6912	1	0.023729	0	0	0
63	64	-9760	-2092	-11880	0	0.214344	0	0	1
116	117	324	276	600	0	0.851852	0	0	0
117	118	1312	796	2108	0	0.606707	0	0	0
118	119	4956	3960	8944	0	0.799031	0	0	0
119	120	-6224	-4952	-11204	0	0.795630	0	0	1
170	171	536	252	788	0	0.470149	0	0	0
171	172	8252	4996	13276	0	0.605429	0	0	0
172	173	-8048	-3564	-11640	0	0.442843	0	0	1
173	174	-572	-1768	-2340	0	3.090909	0	0	1
224	225	720	284	1004	0	0.394444	0	0	0
225	226	5940	4636	10604	0	0.780471	0	0	0
226	227	-3936	-1052	-5016	0	0.267276	0	0	1
227	228	-2592	-3888	-6480	0	1.500000	0	0	1
236	237	-116	-16	-132	0	0.137931	0	0	1
278	279	916	48	964	0	0.052402	0	0	0
279	280	3228	3856	7112	0	1.194548	0	0	0
280	281	-1928	-1852	-3808	0	0.960581	0	0	1
281	282	-2104	-1996	-4100	0	0.948669	0	0	1
336	337	336	196	532	0	0.583333	0	0	0
337	338	5884	6748	12660	0	1.146839	0	0	0
338	339	-2020	-752	-2772	0	0.372277	0	0	1
339	340	-4144	-6072	-10244	0	1.465251	0	0	1
394	395	3012	3564	6576	0	1.183267	0	0	0
395	396	1108	4352	5488	0	3.927798	0	0	0
396	397	-4268	-7468	-11764	0	1.749766	0	0	1
451	452	928	-44	884	1	0.047414	0	0	0
452	453	5052	2280	7360	0	0.451306	0	0	0
453	454	-3224	-2360	-5612	0	0.732010	0	0	1
454	455	-2556	-192	-2748	0	0.075117	0	0	1
