PREDELIVERY	repo=<ISOLATED_BARE_REPO> branch=demo tag=demo-v12 default=main
PASS	profile=present-gbs+present-rpm shape=branch	ref=demo head=9ff3fe9c0e91b6be6b599fd6abab6276e8556ade identity=REQUIRED host-tests=PASS OVERALL=PASS
PASS	profile=present-gbs+present-rpm shape=tag	ref=demo-v12 head=9ff3fe9c0e91b6be6b599fd6abab6276e8556ade identity=REQUIRED host-tests=PASS OVERALL=PASS
PASS	profile=present-gbs+present-rpm shape=default	ref=main head=60c102d39fcc6293d3a77ee2081fac83e4f60482 identity=REPORT_ONLY host-tests=PASS OVERALL=PASS
PASS	profile=absent-gbs+present-rpm shape=branch	ref=demo head=9ff3fe9c0e91b6be6b599fd6abab6276e8556ade identity=REQUIRED host-tests=PASS OVERALL=PASS
PASS	profile=absent-gbs+present-rpm shape=tag	ref=demo-v12 head=9ff3fe9c0e91b6be6b599fd6abab6276e8556ade identity=REQUIRED host-tests=PASS OVERALL=PASS
PASS	profile=absent-gbs+present-rpm shape=default	ref=main head=60c102d39fcc6293d3a77ee2081fac83e4f60482 identity=REPORT_ONLY host-tests=PASS OVERALL=PASS
PASS	profile=present-gbs+absent-rpm shape=branch	ref=demo head=9ff3fe9c0e91b6be6b599fd6abab6276e8556ade identity=REQUIRED host-tests=PASS OVERALL=PASS
PASS	profile=present-gbs+absent-rpm shape=tag	ref=demo-v12 head=9ff3fe9c0e91b6be6b599fd6abab6276e8556ade identity=REQUIRED host-tests=PASS OVERALL=PASS
PASS	profile=present-gbs+absent-rpm shape=default	ref=main head=60c102d39fcc6293d3a77ee2081fac83e4f60482 identity=REPORT_ONLY host-tests=PASS OVERALL=PASS
PASS	profile=minimal-whitelist shape=branch	ref=demo head=9ff3fe9c0e91b6be6b599fd6abab6276e8556ade identity=REQUIRED host-tests=PASS OVERALL=PASS
PASS	profile=minimal-whitelist shape=tag	ref=demo-v12 head=9ff3fe9c0e91b6be6b599fd6abab6276e8556ade identity=REQUIRED host-tests=PASS OVERALL=PASS
PASS	profile=minimal-whitelist shape=default	ref=main head=60c102d39fcc6293d3a77ee2081fac83e4f60482 identity=REPORT_ONLY host-tests=PASS OVERALL=PASS
PASS	profile=broken-tools shape=branch	ref=demo head=9ff3fe9c0e91b6be6b599fd6abab6276e8556ade identity=REQUIRED host-tests=PASS OVERALL=PASS
PASS	profile=broken-tools shape=tag	ref=demo-v12 head=9ff3fe9c0e91b6be6b599fd6abab6276e8556ade identity=REQUIRED host-tests=PASS OVERALL=PASS
PASS	profile=broken-tools shape=default	ref=main head=60c102d39fcc6293d3a77ee2081fac83e4f60482 identity=REPORT_ONLY host-tests=PASS OVERALL=PASS
PASS	startup-rejection shape=branch	43 variants RC=2; explicit diagnostic; zero spoof calls; no MODE/PASS; clean verify follows
PASS	profile=startup-injection shape=branch	ref=demo head=9ff3fe9c0e91b6be6b599fd6abab6276e8556ade identity=REQUIRED host-tests=PASS OVERALL=PASS
PASS	startup-rejection shape=tag	43 variants RC=2; explicit diagnostic; zero spoof calls; no MODE/PASS; clean verify follows
PASS	profile=startup-injection shape=tag	ref=demo-v12 head=9ff3fe9c0e91b6be6b599fd6abab6276e8556ade identity=REQUIRED host-tests=PASS OVERALL=PASS
PASS	startup-rejection shape=default	43 variants RC=2; explicit diagnostic; zero spoof calls; no MODE/PASS; clean verify follows
PASS	profile=startup-injection shape=default	ref=main head=60c102d39fcc6293d3a77ee2081fac83e4f60482 identity=REPORT_ONLY host-tests=PASS OVERALL=PASS
OVERALL	PASS	checks=18 clone_shapes=3 environment_profiles=6 startup_rejection_checks=129
