order	arm	rep	cycle	primary_business_sample	business_elapsed_ms	trim_return	trim_elapsed_ms	glibc_pd_pre_kb	glibc_pd_post_kb	glibc_pd_reclaimed_kb	reclaim_pct_of_pre	cycle_minflt	cycle_majflt	capture_minflt	capture_majflt	external_samples	external_overruns	exit_code
1	none	1	1	0	20023.925432	-1	0.0	2564	2564	0	0.0	970	0	0	0	1084	0	0
1	none	1	2	1	20007.527247	-1	0.0	2824	2824	0	0.0	168	0	0	0	1084	0	0
1	none	1	3	1	20007.464358	-1	0.0	2952	2952	0	0.0	60	0	0	0	1084	0	0
1	none	1	4	1	20007.370673	-1	0.0	2956	2956	0	0.0	105	0	0	0	1084	0	0
1	none	1	5	1	20009.82684	-1	0.0	2956	2956	0	0.0	29	0	0	0	1084	0	0
1	none	1	6	1	20007.488896	-1	0.0	2956	2956	0	0.0	92	0	0	0	1084	0	0
1	none	1	7	1	20006.783395	-1	0.0	2956	2956	0	0.0	32	0	0	0	1084	0	0
1	none	1	8	1	20007.018728	-1	0.0	2956	2956	0	0.0	95	0	0	0	1084	0	0
1	none	1	9	1	20006.476044	-1	0.0	2960	2960	0	0.0	33	0	0	0	1084	0	0
1	none	1	10	1	20006.638692	-1	0.0	2960	2960	0	0.0	94	0	0	0	1084	0	0
1	none	1	11	1	20006.823803	-1	0.0	2960	2960	0	0.0	81	0	0	0	1084	0	0
1	none	1	12	1	20007.702933	-1	0.0	2960	2960	0	0.0	67	0	0	0	1084	0	0
1	none	1	13	1	20007.015137	-1	0.0	2960	2960	0	0.0	7	0	0	0	1084	0	0
1	none	1	14	1	20006.905951	-1	0.0	2960	2960	0	0.0	67	0	0	0	1084	0	0
1	none	1	15	1	20006.412636	-1	0.0	2960	2960	0	0.0	5	0	0	0	1084	0	0
1	none	1	16	1	20006.964414	-1	0.0	2960	2960	0	0.0	67	0	0	0	1084	0	0
1	none	1	17	1	20006.349414	-1	0.0	2960	2960	0	0.0	5	0	0	0	1084	0	0
1	none	1	18	1	20008.289395	-1	0.0	2960	2960	0	0.0	67	0	0	0	1084	0	0
1	none	1	19	1	20006.345877	-1	0.0	2960	2960	0	0.0	5	0	0	0	1084	0	0
1	none	1	20	1	20007.260229	-1	0.0	2960	2960	0	0.0	67	0	0	0	1084	0	0
1	none	1	21	1	20007.106766	-1	0.0	2964	2964	0	0.0	6	0	0	0	1084	0	0
1	none	1	22	1	20006.698784	-1	0.0	2964	2964	0	0.0	67	0	0	0	1084	0	0
1	none	1	23	1	20006.255488	-1	0.0	2964	2964	0	0.0	19	0	0	0	1084	0	0
1	none	1	24	1	20017.562914	-1	0.0	2964	2964	0	0.0	68	0	0	0	1084	0	0
1	none	1	25	1	20006.983451	-1	0.0	2964	2964	0	0.0	5	0	0	0	1084	0	0
1	none	1	26	1	20006.775155	-1	0.0	2964	2964	0	0.0	67	0	0	0	1084	0	0
1	none	1	27	1	20006.622747	-1	0.0	2964	2964	0	0.0	5	0	0	0	1084	0	0
1	none	1	28	1	20007.032506	-1	0.0	2964	2964	0	0.0	67	0	0	0	1084	0	0
1	none	1	29	1	20006.496136	-1	0.0	2964	2964	0	0.0	5	0	0	0	1084	0	0
1	none	1	30	1	20007.478451	-1	0.0	2964	2964	0	0.0	67	0	0	0	1084	0	0
1	none	1	31	1	20007.697192	-1	0.0	2964	2964	0	0.0	5	0	0	0	1084	0	0
1	none	1	32	1	20007.738229	-1	0.0	2964	2964	0	0.0	68	0	0	0	1084	0	0
1	none	1	33	1	20007.332896	-1	0.0	2964	2964	0	0.0	5	0	0	0	1084	0	0
1	none	1	34	1	20007.245599	-1	0.0	2964	2964	0	0.0	67	0	0	0	1084	0	0
1	none	1	35	1	20006.81897	-1	0.0	2964	2964	0	0.0	5	0	0	0	1084	0	0
1	none	1	36	1	20007.163673	-1	0.0	2964	2964	0	0.0	79	0	0	0	1084	0	0
1	none	1	37	1	20012.531266	-1	0.0	2964	2964	0	0.0	5	0	0	0	1084	0	0
