round	sequence	target_offset_s	actual_timestamp	actual_epoch_ns	key	key_name	vk_exit	lateness_ms
R1	1	60	2026-08-14T01:56:48,054067630-0700	1786697808040046047	73	KEY_CH_LIST	1	55.441
R1	2	63	2026-08-14T01:56:51,241735379-0700	1786697811169506963	116	KEY_DOWN	1	184.902
R1	3	64	2026-08-14T01:56:52,399722296-0700	1786697812257049129	116	KEY_DOWN	1	272.444
R1	4	65	2026-08-14T01:56:53,123504795-0700	1786697813081140879	116	KEY_DOWN	1	96.536
R1	5	66	2026-08-14T01:56:54,140321212-0700	1786697814128317629	182	KEY_EXIT	1	143.713
R1	6	69	2026-08-14T01:56:57,230541295-0700	1786697817160942045	96	KEY_CHUP	1	176.337
R1	7	73	2026-08-14T01:57:01,188542960-0700	1786697821176608544	96	KEY_CHUP	1	192.004
R1	8	77	2026-08-14T01:57:05,129389876-0700	1786697825079156459	95	KEY_CHDOWN	1	94.552
R1	9	81	2026-08-14T01:57:09,128065458-0700	1786697829107147292	95	KEY_CHDOWN	1	122.542
R1	10	85	2026-08-14T01:57:13,158209291-0700	1786697833139451957	138	KEY_GUIDE	1	154.847
R1	11	89	2026-08-14T01:57:17,199610290-0700	1786697837193038456	182	KEY_EXIT	1	208.433
R2	1	120	2026-08-14T01:57:48,044156949-0700	1786697868038852032	73	KEY_CH_LIST	1	54.247
R2	2	123	2026-08-14T01:57:51,647694782-0700	1786697871528664198	116	KEY_DOWN	1	544.059
R2	3	124	2026-08-14T01:57:52,286060948-0700	1786697872097274365	116	KEY_DOWN	1	112.669
R2	4	125	2026-08-14T01:57:53,678199448-0700	1786697873591396364	116	KEY_DOWN	1	606.791
R2	5	126	2026-08-14T01:57:54,837711531-0700	1786697874805025781	182	KEY_EXIT	1	820.421
R2	6	129	2026-08-14T01:57:57,175807197-0700	1786697877148876864	96	KEY_CHUP	1	164.272
R2	7	133	2026-08-14T01:58:01,276225529-0700	1786697881237063529	96	KEY_CHUP	1	252.458
R2	8	137	2026-08-14T01:58:05,106632278-0700	1786697885089554445	95	KEY_CHDOWN	1	104.950
R2	9	141	2026-08-14T01:58:09,139976944-0700	1786697889106520861	95	KEY_CHDOWN	1	121.916
R2	10	145	2026-08-14T01:58:13,169266776-0700	1786697893106363276	138	KEY_GUIDE	1	121.758
R2	11	149	2026-08-14T01:58:17,243507275-0700	1786697897223351109	182	KEY_EXIT	1	238.746
R3	1	180	2026-08-14T01:58:48,067549935-0700	1786697928048259351	73	KEY_CH_LIST	1	63.654
R3	2	183	2026-08-14T01:58:51,528222601-0700	1786697931431236434	116	KEY_DOWN	1	446.631
R3	3	184	2026-08-14T01:58:53,019669684-0700	1786697932999704600	116	KEY_DOWN	1	1015.100
R3	4	185	2026-08-14T01:58:53,470518433-0700	1786697933421749767	116	KEY_DOWN	1	437.145
R3	5	186	2026-08-14T01:58:54,351913767-0700	1786697934163163100	182	KEY_EXIT	1	178.558
R3	6	189	2026-08-14T01:58:57,678896432-0700	1786697937564190349	96	KEY_CHUP	1	579.586
R3	7	193	2026-08-14T01:59:01,353038098-0700	1786697941289318515	96	KEY_CHUP	1	304.713
R3	8	197	2026-08-14T01:59:05,097823931-0700	1786697945077131431	95	KEY_CHDOWN	1	92.527
R3	9	201	2026-08-14T01:59:09,161105013-0700	1786697949115791680	95	KEY_CHDOWN	1	131.187
R3	10	205	2026-08-14T01:59:13,047106929-0700	1786697953030578512	138	KEY_GUIDE	1	45.974
R3	11	209	2026-08-14T01:59:17,668467261-0700	1786697957644963261	182	KEY_EXIT	1	660.358
R4	1	240	2026-08-14T01:59:48,050369087-0700	1786697988030255837	73	KEY_CH_LIST	1	45.651
R4	2	243	2026-08-14T01:59:51,366529586-0700	1786697991255341836	116	KEY_DOWN	1	270.737
R4	3	244	2026-08-14T01:59:52,344695086-0700	1786697992292166003	116	KEY_DOWN	1	307.561
R4	4	245	2026-08-14T01:59:53,429867752-0700	1786697993419835252	116	KEY_DOWN	1	435.230
R4	5	246	2026-08-14T01:59:54,298112919-0700	1786697994160536752	182	KEY_EXIT	1	175.932
R4	6	249	2026-08-14T01:59:57,547619002-0700	1786697997463761502	96	KEY_CHUP	1	479.156
R4	7	253	2026-08-14T02:00:01,171934417-0700	1786698001116908167	96	KEY_CHUP	1	132.303
R4	8	257	2026-08-14T02:00:05,101222750-0700	1786698005089174416	95	KEY_CHDOWN	1	104.570
R4	9	261	2026-08-14T02:00:09,161227082-0700	1786698009142876749	95	KEY_CHDOWN	1	158.272
R4	10	265	2026-08-14T02:00:13,047970998-0700	1786698013031274081	138	KEY_GUIDE	1	46.669
R4	11	269	2026-08-14T02:00:17,027393080-0700	1786698017020558914	182	KEY_EXIT	1	35.954
R5	1	300	2026-08-14T02:00:48,056977573-0700	1786698048040724989	73	KEY_CH_LIST	1	56.120
R5	2	303	2026-08-14T02:00:51,542823489-0700	1786698051449559155	116	KEY_DOWN	1	464.954
R5	3	304	2026-08-14T02:00:52,691864822-0700	1786698052511656572	116	KEY_DOWN	1	527.052
R5	4	305	2026-08-14T02:00:53,540825155-0700	1786698053513854488	116	KEY_DOWN	1	529.250
R5	5	306	2026-08-14T02:00:54,319509655-0700	1786698054283779321	182	KEY_EXIT	1	299.174
R5	6	309	2026-08-14T02:00:57,278534404-0700	1786698057204921237	96	KEY_CHUP	1	220.316
R5	7	313	2026-08-14T02:01:01,235885320-0700	1786698061223710070	96	KEY_CHUP	1	239.105
R5	8	317	2026-08-14T02:01:05,095811735-0700	1786698065057031235	95	KEY_CHDOWN	1	72.426
R5	9	321	2026-08-14T02:01:09,189817651-0700	1786698069077021568	95	KEY_CHDOWN	1	92.417
R5	10	325	2026-08-14T02:01:13,178028400-0700	1786698073155828567	138	KEY_GUIDE	1	171.224
R5	11	329	2026-08-14T02:01:17,716603149-0700	1786698077695589316	182	KEY_EXIT	1	710.984
R6	1	360	2026-08-14T02:01:48,047683225-0700	1786698108031339225	73	KEY_CH_LIST	1	46.734
R6	2	363	2026-08-14T02:01:51,476182391-0700	1786698111325880474	116	KEY_DOWN	1	341.276
R6	3	364	2026-08-14T02:01:52,185538808-0700	1786698112175233641	116	KEY_DOWN	1	190.629
R6	4	365	2026-08-14T02:01:53,433153474-0700	1786698113389996557	116	KEY_DOWN	1	405.392
R6	5	366	2026-08-14T02:01:55,318840973-0700	1786698115227482223	182	KEY_EXIT	1	1242.877
R6	6	369	2026-08-14T02:01:57,147404806-0700	1786698117095175140	96	KEY_CHUP	1	110.570
R6	7	373	2026-08-14T02:02:01,194782389-0700	1786698121144652139	96	KEY_CHUP	1	160.047
R6	8	377	2026-08-14T02:02:05,179179054-0700	1786698125143317054	95	KEY_CHDOWN	1	158.712
R6	9	381	2026-08-14T02:02:09,167744970-0700	1786698129148508053	95	KEY_CHDOWN	1	163.903
R6	10	385	2026-08-14T02:02:13,178663886-0700	1786698133161834553	138	KEY_GUIDE	1	177.230
R6	11	389	2026-08-14T02:02:17,073191968-0700	1786698137047536052	182	KEY_EXIT	1	62.931
R7	1	420	2026-08-14T02:02:48,020636878-0700	1786698168009127294	73	KEY_CH_LIST	1	24.522
R7	2	423	2026-08-14T02:02:51,497653460-0700	1786698171381189127	116	KEY_DOWN	1	396.584
R7	3	424	2026-08-14T02:02:52,270240293-0700	1786698172261845210	116	KEY_DOWN	1	277.240
R7	4	425	2026-08-14T02:02:53,368471710-0700	1786698173331504710	116	KEY_DOWN	1	346.900
R7	5	426	2026-08-14T02:02:54,694970959-0700	1786698174610754959	182	KEY_EXIT	1	626.150
R7	6	429	2026-08-14T02:02:57,617491709-0700	1786698177523090125	96	KEY_CHUP	1	538.485
R7	7	433	2026-08-14T02:03:01,205162041-0700	1786698181152123208	96	KEY_CHUP	1	167.518
R7	8	437	2026-08-14T02:03:05,180681790-0700	1786698185110355790	95	KEY_CHDOWN	1	125.751
R7	9	441	2026-08-14T02:03:09,131192289-0700	1786698189081006289	95	KEY_CHDOWN	1	96.401
R7	10	445	2026-08-14T02:03:13,126690872-0700	1786698193069168955	138	KEY_GUIDE	1	84.564
R7	11	449	2026-08-14T02:03:17,211168204-0700	1786698197194439371	182	KEY_EXIT	1	209.834
R8	1	480	2026-08-14T02:03:48,046428863-0700	1786698228031022447	73	KEY_CH_LIST	1	46.417
R8	2	483	2026-08-14T02:03:51,056670529-0700	1786698231046122113	116	KEY_DOWN	1	61.517
R8	3	484	2026-08-14T02:03:52,221931696-0700	1786698232204923446	116	KEY_DOWN	1	220.318
R8	4	485	2026-08-14T02:03:53,751092695-0700	1786698233664333362	116	KEY_DOWN	1	679.728
R8	5	486	2026-08-14T02:03:55,077049862-0700	1786698235040897445	182	KEY_EXIT	1	1056.293
R8	6	489	2026-08-14T02:03:57,362485278-0700	1786698237275584694	96	KEY_CHUP	1	290.980
R8	7	493	2026-08-14T02:04:01,141610360-0700	1786698241066074027	96	KEY_CHUP	1	81.469
R8	8	497	2026-08-14T02:04:05,151450859-0700	1786698245131985692	95	KEY_CHDOWN	1	147.381
R8	9	501	2026-08-14T02:04:09,173553442-0700	1786698249128603942	95	KEY_CHDOWN	1	143.999
R8	10	505	2026-08-14T02:04:13,055111024-0700	1786698253045945191	138	KEY_GUIDE	1	61.340
R8	11	509	2026-08-14T02:04:17,580013356-0700	1786698257563003606	182	KEY_EXIT	1	578.399
