UID       PID PPID  C STIME TTY          TIME CMD
root        4    2  0 20:21 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root        1    0  0 20:21 ?        00:00:04 /usr/lib/systemd/systemd
root        2    0  0 20:21 ?        00:00:00 [kthreadd]
root        3    2  0 20:21 ?        00:00:00 [pool_workqueue_release]
root        4    2  0 20:21 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root        5    2  0 20:21 ?        00:00:00 [kworker/R-rcu_gp]
root        6    2  0 20:21 ?        00:00:00 [kworker/R-sync_wq]
root        7    2  0 20:21 ?        00:00:00 [kworker/R-slub_flushwq]
root        8    2  0 20:21 ?        00:00:00 [kworker/R-netns]
root       11    2  0 20:21 ?        00:00:00 [kworker/0:0H-events_highpri]
root       14    2  0 20:21 ?        00:00:00 [kworker/R-mm_percpu_wq]
root       15    2  0 20:21 ?        00:00:00 [rcu_tasks_kthread]
root       16    2  0 20:21 ?        00:00:00 [rcu_tasks_trace_kthread]
root       18    2  0 20:21 ?        00:00:00 [ksoftirqd/0]
root       19    2  0 20:21 ?        00:00:01 [rcu_preempt]
root       20    2  0 20:21 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/0]
root       21    2  0 20:21 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root       22    2  0 20:21 ?        00:00:00 [migration/0]
root       23    2  0 20:21 ?        00:00:00 [cpuhp/0]
root       24    2  0 20:21 ?        00:00:00 [cpuhp/1]
root       25    2  0 20:21 ?        00:00:00 [migration/1]
root       26    2  0 20:21 ?        00:00:00 [ksoftirqd/1]
root       28    2  0 20:21 ?        00:00:00 [kworker/1:0H-events_highpri]
root       30    2  0 20:21 ?        00:00:00 [cpuhp/2]
root       31    2  0 20:21 ?        00:00:00 [migration/2]
root       32    2  0 20:21 ?        00:00:02 [ksoftirqd/2]
root       34    2  0 20:21 ?        00:00:00 [kworker/2:0H-events_highpri]
root       36    2  0 20:21 ?        00:00:00 [cpuhp/3]
root       37    2  0 20:21 ?        00:00:00 [migration/3]
root       38    2  0 20:21 ?        00:00:04 [ksoftirqd/3]
root       39    2  0 20:21 ?        00:00:00 [kworker/3:0-trace_contention_work
root       40    2  0 20:21 ?        00:00:00 [kworker/3:0H-events_highpri]
root       46    2  0 20:21 ?        00:00:00 [kdevtmpfs]
root       47    2  0 20:21 ?        00:00:00 [kworker/R-inet_frag_wq]
root       48    2  0 20:21 ?        00:00:00 [kiomond]
root       49    2  0 20:21 ?        00:00:00 [kauditd]
root       50    2  0 20:21 ?        00:00:06 [printk]
root       52    2  0 20:21 ?        00:00:00 [oom_reaper]
root       53    2  0 20:21 ?        00:00:00 [kworker/R-writeback]
root       54    2  0 20:21 ?        00:00:00 [kcompactd0]
root       55    2  0 20:21 ?        00:00:00 [ksmd]
root       56    2  0 20:21 ?        00:00:00 [kworker/R-kblockd]
root       57    2  0 20:21 ?        00:00:00 [kworker/R-md]
root       58    2  0 20:21 ?        00:00:00 [kworker/R-md_bitmap]
root       59    2  0 20:21 ?        00:00:00 [kworker/u29:0-nvt_clkgate_wq]
root       64    2  0 20:21 ?        00:00:00 [kworker/R-sdhci]
root       65    2  0 20:21 ?        00:00:00 [irq/35-mmc0]
root       66    2  0 20:21 ?        00:00:00 [kworker/R-nvt_clkgate_wq]
root       67    2  0 20:21 ?        00:00:00 [kworker/u25:2-events_unbound]
root       70    2  0 20:21 ?        00:00:00 [kworker/0:1H]
root       71    2  0 20:21 ?        00:00:00 [kdtvlogd]
root       72    2  0 20:21 ?        00:00:00 [kworker/R-trace_contention_worker
root       73    2  0 20:21 ?        00:00:00 [kworker/R-contention_store_wq]
root       74    2  0 20:21 ?        00:00:00 [kswapd0]
root       75    2  0 20:21 ?        00:00:00 [erofs_worker/0]
root       76    2  0 20:21 ?        00:00:00 [erofs_worker/1]
root       77    2  0 20:21 ?        00:00:00 [erofs_worker/2]
root       78    2  0 20:21 ?        00:00:00 [erofs_worker/3]
root       79    2  0 20:21 ?        00:00:00 [kworker/R-sim_watchdog]
root       80    2  0 20:21 ?        00:00:00 [kworker/R-kthrotld]
root       81    2  0 20:21 ?        00:00:00 [softirq_mon]
root       82    2  0 20:21 ?        00:00:00 [kworker/R-fd0f0c28.tsensor]
root       83    2 13 20:21 ?        00:03:06 [zram_bgrecompd]
root       84    2  0 20:21 ?        00:00:00 [memnotify]
root       85    2  0 20:21 ?        00:00:00 [kworker/R-Eth_readTrim]
root       86    2  0 20:21 ?        00:00:00 [kworker/R-Eth_plugDetect]
root       87    2  0 20:21 ?        00:00:00 [kworker/R-Eth_reset_mac]
root       88    2  0 20:21 ?        00:00:00 [rc0]
root       89    2  0 20:21 ?        00:00:00 [rc1]
root       90    2  0 20:21 ?        00:00:00 [kworker/R-dm_bufio_cache]
root       91    2  0 20:21 ?        00:00:00 [kworker/R-mmc_complete]
root       92    2  0 20:21 ?        00:00:00 [kworker/3:1R-kblockd]
root       93    2  0 20:21 ?        00:00:00 [kworker/1:1R-mmc_complete]
root       94    2  0 20:21 ?        00:00:00 [mmc_trace_vlog]
root       95    2  0 20:21 ?        00:00:00 [kworker/3:1H]
root       96    2  0 20:21 ?        00:00:00 [kworker/R-mld]
root       97    2  0 20:21 ?        00:00:00 [kworker/R-ipv6_addrconf]
root       98    2  0 20:21 ?        00:00:00 [kworker/u24:1+dvb_core_wq]
root       99    2  0 20:21 ?        00:00:00 [kworker/R-vd_time_occupy_workqueu
root      100    2  0 20:21 ?        00:00:00 [kworker/u28:1-events_unbound]
root      102    2  0 20:21 ?        00:00:00 [kworker/0:1R-kblockd]
root      103    2  0 20:21 ?        00:00:00 [kworker/2:1R-kblockd]
root      105    2  0 20:21 ?        00:00:00 [kworker/2:1H]
root      141    2  0 20:21 ?        00:00:00 [kworker/1:1H]
root      177    2  0 20:21 ?        00:00:01 [kworker/1:2R-mmc_complete]
root      181    2  0 20:21 ?        00:00:00 [kworker/3:2R-kblockd]
root      191    1  0 20:21 ?        00:00:00 /prd/usr/bin/kfactoryd
root      201    2  0 20:21 ?        00:00:02 [vlog_task]
cynara    216    1  0 20:21 ?        00:00:06 /usr/bin/cynara
buxton    221    1  0 20:21 ?        00:00:00 /prd/usr/bin/buxton2d_lite -f
root      239    1  0 20:21 ?        00:00:00 /bin/sh /usr/bin/launchpad-process
root      243    2  0 20:21 ?        00:00:00 [menu]
root      247    2  0 20:21 ?        00:00:00 [_NerveTask_]
root      248    2  0 20:21 ?        00:00:00 [_NerveMTask_]
root      249    2  0 20:21 ?        00:00:00 [_NVTAsyncTask_]
root      250    2  0 20:21 ?        00:00:00 [_NVTAsyncTask_]
root      251    2  0 20:21 ?        00:00:00 [_NVTAsyncTask_]
root      252    2  0 20:21 ?        00:00:00 [_NVTAsyncTask_]
root      253    2  0 20:21 ?        00:00:00 [_NVTAsyncTask_]
root      257    2  0 20:21 ?        00:00:03 [DRV_DBG_UART]
root      258    1  0 20:21 ?        00:00:00 /usr/bin/fconfigd -d
root      259    1  0 20:21 ?        00:00:05 /usr/apps/boot-helper-dyboost-tv/b
root      267    2  0 20:21 ?        00:00:00 [DRV_STBC_CALLBACK_TASK]
buxton    269    1  0 20:21 ?        00:00:04 /usr/sbin/buxton2d -f
root      270    2  0 20:21 ?        00:00:00 [irq/49-ntkMsgBox]
owner     272  239  0 20:21 ?        00:00:00 /usr/bin/ServiceJ
root      273    2  0 20:21 ?        00:00:00 [MLBX_TEST_Thread]
root      277    2  0 20:21 ?        00:00:00 [tztv_mc_debug_print]
root      278    2  0 20:21 ?        00:00:00 [kthread_watchdog]
root      279    1 15 20:21 ?        00:03:33 /usr/bin/enlightenment
root      296    2  0 20:21 ?        00:00:00 [kworker/u26:2-events_unbound]
root      311    2  0 20:21 ?        00:00:00 [kworker/u26:3-events_unbound]
root      314    2  0 20:21 ?        00:00:00 [kworker/R-free_pages_workq]
root      325    2  0 20:21 ?        00:00:00 [kworker/R-kbase_job_fault_resume_
root      330    2  1 20:21 ?        00:00:15 [tzdev-tee-threads]
root      337    2  0 20:30 ?        00:00:00 [kworker/u28:0-events_unbound]
securit+  347    1  0 20:21 ?        00:00:00 /usr/bin/security-manager
root      359    2  0 20:21 ?        00:00:00 [nsrpc:0]
root      360    2  0 20:21 ?        00:00:00 [hdmi_vlog_thread]
root      362    2  0 20:31 ?        00:00:00 [kworker/u33:1-kbase_pm_shader_pow
root      363    2  0 20:21 ?        00:00:00 [_MEM_HandleDmem]
root      364    2  0 20:21 ?        00:00:00 [nsrpc:1]
root      366    1  0 20:21 ?        00:00:00 /bin/bash /usr/bin/vd-pkginfo-serv
root      367    2  0 20:21 ?        00:00:00 [nsrpc:2]
root      371    2  0 20:21 ?        00:00:00 [nsrpcwatchdog]
root      373    2  0 20:21 ?        00:00:00 [dspMonitor]
root      374    2  0 20:21 ?        00:00:00 [HDCP22_PROC]
root      375    2  0 20:21 ?        00:00:00 [tzlogd]
app_fw    376  366  0 20:21 ?        00:00:01 /usr/bin/pkginfo-server
root      377    2  0 20:21 ?        00:00:00 [_SPDIF_OclTrigger]
root      384    2  0 20:21 ?        00:00:00 [HDMI_EvtThread]
root      392    2  0 20:21 ?        00:00:00 [cube_event0]
root      393    2  0 20:21 ?        00:00:00 [teedrv_watch]
root      396    2  0 20:21 ?        00:00:04 [DRV_VD]
root      418    2  0 20:21 ?        00:00:00 [cube_event1]
root      424    2  0 20:32 ?        00:00:01 [kworker/u31:2-vd_time_occupy_work
root      432    2  0 20:21 ?        00:00:00 [kworker/u32:1]
root      433    2  0 20:21 ?        00:00:00 [TSD_TASK]
root      435    2  0 20:21 ?        00:00:00 [DEMUX_TASK]
root      436    2  0 20:21 ?        00:00:00 [_APUTask_]
root      440    2  0 20:32 ?        00:00:00 [kworker/u25:1-events_unbound]
root      441    2  0 20:21 ?        00:00:00 [irq/82-frc_leon2_irq]
root      445    2  0 20:21 ?        00:00:00 [kworker/R-dvb_core_wq]
root      448    2  0 20:21 ?        00:00:00 [DEMUX_FEED_TASK]
root      449    2  1 20:21 ?        00:00:20 [PQ_MPFW_TASK]
root      450    2  0 20:21 ?        00:00:01 [PQ_SHELL_DBG_TASK]
root      451    2  0 20:21 ?        00:00:01 [ATSC30_CB_TASK]
root      452    2  0 20:21 ?        00:00:00 [KER_CI_timer]
root      454    2  0 20:32 ?        00:00:00 [kworker/0:1-rcu_gp]
root      463    2  0 20:21 ?        00:00:00 [kdvb-ca-0:0]
root      467    2  0 20:21 ?        00:00:00 [kworker/u24:2-Eth_plugDetect]
root      468    2  0 20:21 ?        00:00:00 [DRV_TVADC]
root      469    2  0 20:21 ?        00:00:02 [CHK5V_NDP_HDMI]
root      470    2  0 20:21 ?        00:00:00 [_VPL_SRC_KADC]
root      471    2  0 20:21 ?        00:00:00 [CLK_DET_NDP_HDMI]
root      472    2  0 20:21 ?        00:00:06 [SCLR_DP0]
root      474    2  0 20:21 ?        00:00:00 [VRR_ST_NDP_HDMI]
root      477    2  0 20:21 ?        00:00:01 [SRC_ModeTask]
root      480    2  0 20:21 ?        00:00:00 [SRC_MonitorTask]
root      482    2  0 20:21 ?        00:00:01 [SCLR_IP0]
root      483    2  0 20:21 ?        00:00:00 [VPL_SRC_MODE_EVENT_TASK]
root      484    2  0 20:21 ?        00:00:00 [SCLR_SHL_Scale0]
root      485    2  0 20:21 ?        00:00:00 [SCLR_IP1]
root      486    2  0 20:21 ?        00:00:00 [SCLR_SHL_Scale1]
root      487    2  0 20:21 ?        00:00:00 [SCLR_SHL_Scale2]
root      488    2  0 20:21 ?        00:00:00 [SCLR_SHL_Scale3]
root      489    2  0 20:21 ?        00:00:00 [SCLR_SHL_Scale4]
root      490    2  0 20:21 ?        00:00:01 [SCLR_SHL_Bio]
root      493    2  0 20:21 ?        00:00:02 [DRV_VBI]
root      494    2  0 20:21 ?        00:00:02 [VPL_SCLR_CTRL_MONITOR]
root      495    2  0 20:21 ?        00:00:00 [eArcTask]
root      496    2  0 20:21 ?        00:00:00 [PLAT_VC_UPDATE_TASK]
root      497    2  0 20:21 ?        00:00:00 [kworker/1:5-events]
root      500    2  0 20:21 ?        00:00:00 [card0-crtc0]
root      501    2  0 20:21 ?        00:00:00 [card0-crtc1]
root      502    2  0 20:21 ?        00:00:00 [PLAT_VC_UPDATE_TASK]
root      537    2  0 20:21 ?        00:00:00 [kworker/R-cfg80211]
root      548    2  0 20:21 ?        00:00:00 [kworker/2:3R-kblockd]
root      561    1  0 20:21 ?        00:00:00 /bin/bash /usr/bin/pm_monitor.sh 3
owner     574  571  0 20:21 ?        00:00:00 /usr/bin/zone-init
owner     576  272 43 20:21 ?        00:10:08 /opt/usr/apps/AppD/
owner     585  272  1 20:21 ?        00:00:14 /usr/bin/ServiceE     0         
owner     586  272  0 20:21 ?        00:00:01 /usr/apps/org.tizen.volume-app/bin
owner     590  272  0 20:21 ?        00:00:02 /usr/apps/AppY/bin/
root      601    2  0 20:21 ?        00:00:00 [kworker/R-kbase_event]
root      611    2  0 20:36 ?        00:00:00 [kworker/3:1-cgroup_release]
root      616    2  0 20:36 ?        00:00:00 [kworker/1:1-mm_percpu_wq]
root      634    2  0 20:36 ?        00:00:00 [kworker/u25:3-events_unbound]
root      648    2  0 20:21 ?        00:00:00 [kworker/u31:1-kbase_pm_shader_pow
root      649    2  0 20:21 ?        00:00:00 [kworker/u29:1]
root      700    2  0 20:37 ?        00:00:00 [kworker/0:0-events]
root      702    2  0 20:21 ?        00:00:00 [kworker/R-kbase_event]
root      710    2  0 20:21 ?        00:00:00 [kworker/u28:3-kvfree_rcu_reclaim]
owner     712  272  0 20:21 ?        00:00:00 /usr/bin/app-defined-loader     0 
root      714    2  0 20:38 ?        00:00:02 [kworker/u30:0-kbase_pm_poweroff_w
owner     715    1  0 20:21 ?        00:00:00 /usr/bin/resource-center
root      716    1  0 20:21 ?        00:00:00 /usr/bin/rscmgr-service
owner     728  272  0 20:21 ?        00:00:02 /usr/bin/launchpad-loader     0   
owner     729  272  1 20:21 ?        00:00:16 /usr/apps/AppS/bin/org.t
root      735    1  1 20:21 ?        00:00:18 /usr/bin/ServiceC
root      736    1  0 20:21 ?        00:00:01 /usr/bin/tvs-lite
app_fw    737    1  0 20:21 ?        00:00:04 /usr/bin/ServiceV
owner     738    1  0 20:21 ?        00:00:05 /opt/usr/apps/com.samsung.tv.pisa-
root      740    1  0 20:21 ?        00:00:01 /usr/bin/tvctx-manager /etc/tvctx-
root      743    1  0 20:21 ?        00:00:02 /usr/bin/bt-service
owner     744    1  0 20:21 ?        00:00:01 /opt/usr/apps/com.samsung.tv.slive
owner     826    1  0 20:21 ?        00:00:03 /usr/bin/common-daemon-basic-monit
owner     827    1  0 20:21 ?        00:00:00 /usr/bin/connectivity-common-daemo
root      831    1  0 20:21 ?        00:00:00 /usr/sbin/connmand --nodnsproxy --
root      834    1  0 20:21 ?        00:00:09 /usr/bin/deviced
root      836    1  0 20:21 ?        00:00:00 /usr/sbin/launcher-security
root      851    2  0 20:21 ?        00:00:01 [kworker/2:3-mm_percpu_wq]
root      868    1  4 20:21 ?        00:01:03 /usr/bin/avocd -d
root      877    2  0 20:39 ?        00:00:00 [kworker/u32:0-kbase_pm_shader_pow
