UID       PID PPID  C STIME TTY          TIME CMD
root        4    2  0 05:44 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root        1    0  0 05:44 ?        00:00:12 /usr/lib/systemd/systemd
root        2    0  0 05:44 ?        00:00:00 [kthreadd]
root        3    2  0 05:44 ?        00:00:00 [pool_workqueue_release]
root        4    2  0 05:44 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root        5    2  0 05:44 ?        00:00:00 [kworker/R-rcu_gp]
root        6    2  0 05:44 ?        00:00:00 [kworker/R-sync_wq]
root        7    2  0 05:44 ?        00:00:00 [kworker/R-slub_flushwq]
root        8    2  0 05:44 ?        00:00:00 [kworker/R-netns]
root       11    2  0 05:44 ?        00:00:00 [kworker/0:0H-events_highpri]
root       14    2  0 05:44 ?        00:00:00 [kworker/R-mm_percpu_wq]
root       15    2  0 05:44 ?        00:00:00 [rcu_tasks_kthread]
root       16    2  0 05:44 ?        00:00:00 [rcu_tasks_trace_kthread]
root       18    2  0 05:44 ?        00:00:09 [ksoftirqd/0]
root       19    2  0 05:44 ?        00:00:25 [rcu_preempt]
root       20    2  0 05:44 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/0]
root       21    2  0 05:44 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root       22    2  0 05:44 ?        00:00:41 [migration/0]
root       23    2  0 05:44 ?        00:00:00 [cpuhp/0]
root       24    2  0 05:44 ?        00:00:00 [cpuhp/1]
root       25    2  0 05:44 ?        00:00:26 [migration/1]
root       26    2  0 05:44 ?        00:00:05 [ksoftirqd/1]
root       28    2  0 05:44 ?        00:00:00 [kworker/1:0H-events_highpri]
root       30    2  0 05:44 ?        00:00:00 [cpuhp/2]
root       31    2  0 05:44 ?        00:00:22 [migration/2]
root       32    2  0 05:44 ?        00:02:02 [ksoftirqd/2]
root       34    2  0 05:44 ?        00:00:00 [kworker/2:0H-events_highpri]
root       36    2  0 05:44 ?        00:00:00 [cpuhp/3]
root       37    2  0 05:44 ?        00:00:17 [migration/3]
root       38    2  0 05:44 ?        00:03:28 [ksoftirqd/3]
root       40    2  0 05:44 ?        00:00:00 [kworker/3:0H-events_highpri]
root       46    2  0 05:44 ?        00:00:00 [kdevtmpfs]
root       47    2  0 05:44 ?        00:00:00 [kworker/R-inet_frag_wq]
