UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Aug28 ?        00:02:05 /sbin/init
root         2     0  0 Aug28 ?        00:00:01 [kthreadd]
root         3     2  0 Aug28 ?        00:00:00 [pool_workqueue_release]
root         4     2  0 Aug28 ?        00:00:00 [kworker/R-kvfree_rcu_reclaim]
root         5     2  0 Aug28 ?        00:00:00 [kworker/R-rcu_gp]
root         6     2  0 Aug28 ?        00:00:00 [kworker/R-sync_wq]
root         7     2  0 Aug28 ?        00:00:00 [kworker/R-slub_flushwq]
root         8     2  0 Aug28 ?        00:00:00 [kworker/R-netns]
root        13     2  0 Aug28 ?        00:00:00 [kworker/R-mm_percpu_wq]
root        14     2  0 Aug28 ?        00:00:00 [rcu_tasks_rude_kthread]
root        15     2  0 Aug28 ?        00:00:00 [rcu_tasks_trace_kthread]
root        16     2  0 Aug28 ?        00:00:25 [ksoftirqd/0]
root        17     2  0 Aug28 ?        00:05:27 [rcu_sched]
root        18     2  0 Aug28 ?        00:00:00 [rcu_exp_par_gp_kthread_worker/0
root        19     2  0 Aug28 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root        20     2  0 Aug28 ?        00:00:00 [migration/0]
root        21     2  0 Aug28 ?        00:00:00 [cpuhp/0]
root        22     2  0 Aug28 ?        00:00:00 [cpuhp/1]
root        23     2  0 Aug28 ?        00:00:00 [migration/1]
root        24     2  0 Aug28 ?        00:00:21 [ksoftirqd/1]
root        27     2  0 Aug28 ?        00:00:00 [cpuhp/2]
root        28     2  0 Aug28 ?        00:00:00 [migration/2]
root        29     2  0 Aug28 ?        00:00:22 [ksoftirqd/2]
root        32     2  0 Aug28 ?        00:00:00 [cpuhp/3]
root        33     2  0 Aug28 ?        00:00:00 [migration/3]
root        34     2  0 Aug28 ?        00:00:26 [ksoftirqd/3]
root        41     2  0 Aug28 ?        00:00:00 [kdevtmpfs]
root        42     2  0 Aug28 ?        00:00:00 [kworker/R-inet_frag_wq]
root        43     2  0 Aug28 ?        00:00:00 [kauditd]
root        44     2  0 Aug28 ?        00:00:01 [khungtaskd]
root        45     2  0 Aug28 ?        00:00:00 [oom_reaper]
root        47     2  0 Aug28 ?        00:00:00 [kworker/R-writeback]
root        48     2  0 Aug28 ?        00:00:50 [kcompactd0]
root        49     2  0 Aug28 ?        00:00:00 [kworker/R-cryptd]
root        50     2  0 Aug28 ?        00:00:00 [kworker/R-kblockd]
root        51     2  0 Aug28 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root        54     2  0 Aug28 ?        00:00:00 [watchdogd]
root        57     2  0 Aug28 ?        00:00:00 [kworker/R-rpciod]
root        58     2  0 Aug28 ?        00:00:00 [kworker/R-xprtiod]
root        59     2  0 Aug28 ?        00:00:00 [kworker/R-cfg80211]
root        61     2  0 Aug28 ?        00:00:00 [kswapd0]
root        62     2  0 Aug28 ?        00:00:00 [kworker/R-nfsiod]
root        63     2  0 Aug28 ?        00:00:00 [kworker/u21:0-hci0]
root        64     2  0 Aug28 ?        00:00:00 [kworker/u22:0]
root        65     2  0 Aug28 ?        00:00:00 [kworker/u23:0]
root        66     2  0 Aug28 ?        00:00:00 [kworker/u24:0]
root        67     2  0 Aug28 ?        00:00:00 [kworker/u25:0]
root        68     2  0 Aug28 ?        00:00:00 [kworker/R-kthrotld]
root        77     2  0 Aug28 ?        00:00:00 [hwrng]
root        78     2  0 Aug28 ?        00:00:00 [kworker/R-iscsi_conn_cleanup]
root        80     2  0 Aug28 ?        00:00:00 [kworker/R-uas]
root        82     2  0 Aug28 ?        00:00:00 [kworker/R-dm_bufio_cache]
root        84     2  0 Aug28 ?        00:00:00 [vchiq-slot/0]
root        85     2  0 Aug28 ?        00:00:00 [vchiq-recy/0]
root        86     2  0 Aug28 ?        00:00:00 [vchiq-sync/0]
root        87     2  0 Aug28 ?        00:00:00 [vchiq-keep/0]
root        91     2  0 Aug28 ?        00:00:00 [SMIO]
root        92     2  0 Aug28 ?        00:00:00 [kworker/R-mmal-vchiq]
root        93     2  0 Aug28 ?        00:00:00 [kworker/R-mmal-vchiq]
root        94     2  0 Aug28 ?        00:00:00 [kworker/R-mmal-vchiq]
root        95     2  0 Aug28 ?        00:00:00 [kworker/R-mmal-vchiq]
root        96     2  0 Aug28 ?        00:00:00 [kworker/R-mmal-vchiq]
root        97     2  0 Aug28 ?        00:00:00 [kworker/R-mmal-vchiq]
root        98     2  0 Aug28 ?        00:00:00 [kworker/R-mmal-vchiq]
root        99     2  0 Aug28 ?        00:00:00 [kworker/R-mld]
root       100     2  0 Aug28 ?        00:00:00 [kworker/R-ipv6_addrconf]
root       102     2  0 Aug28 ?        00:00:00 [krfcommd]
root       105     2  0 Aug28 ?        00:00:00 [irq/54-vc4 hdmi hpd connected]
root       106     2  0 Aug28 ?        00:00:00 [irq/55-vc4 hdmi hpd disconnecte
root       107     2  0 Aug28 ?        00:00:00 [cec-vc4-hdmi-0]
root       108     2  0 Aug28 ?        00:00:00 [irq/56-vc4 hdmi cec rx]
root       109     2  0 Aug28 ?        00:00:00 [irq/57-vc4 hdmi cec tx]
root       110     2  0 Aug28 ?        00:00:00 [irq/58-vc4 hdmi hpd connected]
root       111     2  0 Aug28 ?        00:00:00 [irq/59-vc4 hdmi hpd disconnecte
root       112     2  0 Aug28 ?        00:00:00 [cec-vc4-hdmi-1]
root       113     2  0 Aug28 ?        00:00:00 [irq/60-vc4 hdmi cec rx]
root       114     2  0 Aug28 ?        00:00:00 [irq/61-vc4 hdmi cec tx]
root       115     2  0 Aug28 ?        00:00:00 [card0-crtc0]
root       116     2  0 Aug28 ?        00:00:00 [card0-crtc1]
root       117     2  0 Aug28 ?        00:00:00 [card0-crtc2]
root       118     2  0 Aug28 ?        00:00:00 [card0-crtc3]
root       119     2  0 Aug28 ?        00:00:00 [card0-crtc4]
root       120     2  0 Aug28 ?        00:00:00 [card0-crtc5]
root       121     2  0 Aug28 ?        00:00:00 [kworker/R-sdhci]
root       122     2  0 Aug28 ?        00:00:00 [irq/68-mmc0]
root       125     2  0 Aug28 ?        00:00:00 [kworker/R-v3d_bin]
root       126     2  0 Aug28 ?        00:00:00 [kworker/R-v3d_render]
root       127     2  0 Aug28 ?        00:00:00 [kworker/R-v3d_tfu]
root       128     2  0 Aug28 ?        00:00:00 [kworker/R-v3d_csd]
root       129     2  0 Aug28 ?        00:00:00 [kworker/R-v3d_cache_clean]
root       130     2  0 Aug28 ?        00:00:00 [kworker/R-v3d_cpu]
root       147     2  0 Aug28 ?        00:00:01 [kworker/3:1H-kblockd]
root       148     2  0 Aug28 ?        00:00:00 [kworker/R-mmc_complete]
root       190     2  0 Aug28 ?        00:00:00 [jbd2/mmcblk0p6-8]
root       191     2  0 Aug28 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root       233     2  0 Aug28 ?        00:00:00 [jbd2/mmcblk0p2-8]
root       234     2  0 Aug28 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root       238     2  0 Aug28 ?        00:00:42 [jbd2/mmcblk0p3-8]
root       239     2  0 Aug28 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root       241     2  0 Aug28 ?        00:00:00 [jbd2/mmcblk0p10-8]
root       242     2  0 Aug28 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root       280     2  0 Aug28 ?        00:00:00 [jbd2/mmcblk0p9-8]
root       281     2  0 Aug28 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root       284     1  0 Aug28 ?        00:00:02 /usr/lib/systemd/systemd-journal
root       289     2  0 Aug28 ?        00:00:00 [f2fs_ckpt-179:5]
root       290     2  0 Aug28 ?        00:00:00 [f2fs_flush-179:5]
root       291     2  0 Aug28 ?        00:00:02 [f2fs_discard-179:5]
root       307     2  0 Aug28 ?        00:00:00 [f2fs_gc-179:5]
root       328     1  0 Aug28 ?        00:00:02 /usr/lib/systemd/systemd-udevd
root       389     2  0 Aug28 ?        00:00:00 [kworker/u21:2-hci0]
root       393     1  0 Aug28 ?        00:00:00 /usr/bin/hal/hal-backend-service
root       407     1  0 Aug28 ?        00:00:00 /usr/sbin/actd
buxton     408     1  0 Aug28 ?        00:13:31 /usr/sbin/buxton2d -f
key-man+   409     1  0 Aug28 ?        00:00:18 /usr/bin/key-manager
app_fw     412     1  0 Aug28 ?        00:01:34 /usr/bin/esd
app_fw     413     1  0 Aug28 ?        00:00:00 /usr/bin/pkginfo-server
root       414     1  0 Aug28 ?        00:00:17 /usr/bin/resourced
log        415     1  0 Aug28 ?        00:20:34 /usr/bin/dlog_logger
sensor     439     1  0 Aug28 ?        00:00:00 /usr/bin/sensord
app_fw     440     1  0 Aug28 ?        00:03:58 /usr/bin/amd
cynara     442     1  0 Aug28 ?        00:00:34 /usr/bin/cynara
dbus       443     1  0 Aug28 ?        00:11:54 /usr/bin/dbus-daemon --system --
root       446     1  0 Aug28 ?        00:01:15 /usr/bin/deviced
securit+   451     1  0 Aug28 ?        00:00:00 /usr/bin/license-manager-agent
multime+   455     1  0 Aug28 ?        00:00:00 /usr/bin/media-server
service+   462     1  0 Aug28 ?        00:02:37 /usr/bin/pushd
root       476     1  0 Aug28 ?        00:00:00 login -- root
stabili+   478     1  0 Aug28 ?        00:08:08 /usr/sbin/stability-monitor
network+   484     1  0 Aug28 ?        00:04:52 /usr/bin/net-config
root       505     1  0 Aug28 ?        00:41:12 /usr/bin/enlightenment
pulse      517     1  0 Aug28 ?        00:00:44 /usr/bin/pulseaudio
root       518     1  0 Aug28 ?        00:00:02 /usr/lib/systemd/systemd-logind
network+   520     1  0 Aug28 ?        00:00:01 /usr/bin/connmand -n --nobacktra
multime+   521     1  0 Aug28 ?        00:00:00 /usr/bin/rscmgr-service
root       532     1  0 Aug28 ?        00:00:00 /usr/bin/update-manager
root       571     2  0 Aug28 ?        00:07:10 [psimon]
service+   583     1  0 Aug28 ?        00:00:00 /usr/bin/contextd
root       587     2  0 Aug28 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root       600     1  0 Aug28 ?        00:00:53 /usr/bin/storaged
root       620     2  0 Aug28 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root       625     1  0 Aug28 ?        00:00:00 /usr/bin/tlm
root       639   625  0 Aug28 ?        00:00:00 /usr/bin/tlm-sessiond
multime+   650     1  0 Aug28 ?        00:00:00 /usr/bin/focus_server -S
owner      661     1  0 Aug28 ?        00:00:00 /usr/lib/systemd/systemd --user
owner      667   661  0 Aug28 ?        00:00:00 (sd-pam)
owner      676   639  0 Aug28 tty7     00:00:00 /bin/bash
owner      739   661  0 Aug28 ?        00:00:00 /usr/bin/launchpad-process-pool
owner      761   739  0 Aug28 ?        00:07:07 /usr/apps/ise-default/bin/ise-de
owner      766   661  0 Aug28 ?        00:00:00 /usr/bin/isf
graphic+   768     1  0 Aug28 ?        00:18:35 bash /usr/bin/enlightenment_mon.
multime+   783     1  0 Aug28 ?        00:00:30 /usr/bin/muse-server -D
location   808     1  0 Aug28 ?        00:00:01 /usr/bin/lbs-server
root       813     1  0 Aug28 ?        00:33:44 /usr/bin/pass
owner      845   661  0 Aug28 ?        00:00:00 /usr/bin/dbus-daemon --session -
securit+   848     1  0 Aug28 ?        00:00:00 /usr/bin/security-manager
securit+   853   848  0 Aug28 ?        00:00:00 /usr/bin/security-manager
owner      860   661  0 Aug28 ?        00:00:00 /usr/bin/starter
owner      872   739  0 Aug28 ?        00:00:01 /usr/bin/dotnet-hydra-loader 1 0
owner      890   739  0 Aug28 ?        00:06:05 /usr/apps/org.tizen.multi-assist
ui_fw      931     1  0 Aug28 ?        00:00:00 /usr/bin/ise-engine-loader
