case	source_round	profile	cell	validation_status	xml	measured_reclaimed_kb
enlightenment-E1	tizen_native_evidence_20260904	enlightenment	E1	paired	xml/enlightenment_E1_pre.xml	272
s2-mixed-cycle01	cyclic_profile_replication_s2_20260831	mixed	cycle01	no_trim_invoked	xml/s2_mixed_cycle01_valley.xml	-
s2-medium-only-cycle01	cyclic_profile_replication_s2_20260831	medium-only	cycle01	no_trim_invoked	xml/s2_medium-only_cycle01_valley.xml	-
s4-A-mixed	s4_retention_20260901	mixed	A-rep1	paired	xml/s4_A_mixed_release.xml	53448
s4-A-medium-only	s4_retention_20260901	medium-only	A-rep1	paired	xml/s4_A_medium-only_release.xml	54040
s4-B-mixed-r1-c1	s4_retention_20260901	mixed	B-valley-rep1-cycle01	paired	xml/s4_B_mixed_rep1_cycle01_valley.xml	4496
s4-B-mixed-r1-c2	s4_retention_20260901	mixed	B-valley-rep1-cycle02	paired	xml/s4_B_mixed_rep1_cycle02_valley.xml	5332
s4-B-mixed-r2-c1	s4_retention_20260901	mixed	B-valley-rep2-cycle01	paired	xml/s4_B_mixed_rep2_cycle01_valley.xml	4496
s4-B-mixed-r2-c2	s4_retention_20260901	mixed	B-valley-rep2-cycle02	paired	xml/s4_B_mixed_rep2_cycle02_valley.xml	5332
s4-B-mixed-r3-c1	s4_retention_20260901	mixed	B-valley-rep3-cycle01	paired	xml/s4_B_mixed_rep3_cycle01_valley.xml	4496
s4-B-mixed-r3-c2	s4_retention_20260901	mixed	B-valley-rep3-cycle02	paired	xml/s4_B_mixed_rep3_cycle02_valley.xml	5332
s4-B-medium-only-r1-c1	s4_retention_20260901	medium-only	B-valley-rep1-cycle01	paired	xml/s4_B_medium-only_rep1_cycle01_valley.xml	5124
s4-B-medium-only-r1-c2	s4_retention_20260901	medium-only	B-valley-rep1-cycle02	paired	xml/s4_B_medium-only_rep1_cycle02_valley.xml	5252
s4-B-medium-only-r2-c1	s4_retention_20260901	medium-only	B-valley-rep2-cycle01	paired	xml/s4_B_medium-only_rep2_cycle01_valley.xml	5124
s4-B-medium-only-r2-c2	s4_retention_20260901	medium-only	B-valley-rep2-cycle02	paired	xml/s4_B_medium-only_rep2_cycle02_valley.xml	5252
s4-B-medium-only-r3-c1	s4_retention_20260901	medium-only	B-valley-rep3-cycle01	paired	xml/s4_B_medium-only_rep3_cycle01_valley.xml	5124
s4-B-medium-only-r3-c2	s4_retention_20260901	medium-only	B-valley-rep3-cycle02	paired	xml/s4_B_medium-only_rep3_cycle02_valley.xml	5252
gst-trim-r1-c1	gst_trim_cost_20260901	trim-at-loop-release	rep1-cycle01	xml_not_collected	-	-
